id_municipio,nome_municipio,sigla_uf,regiao,taxa_2023,taxa_2024,meta_2025,meta_2030,delta_observado,delta_projetado,projecao_2025,projecao_2026,projecao_2027,projecao_2028,projecao_2029,projecao_2030,atinge_meta_2025,atinge_meta_2030,gap_2030,ritmo_necessario_ate_2030,ritmo_projetado,classificacao_ritmo
4302501,Bossoroca,RS,Sul,50.0,38.4,59.77,80.0,-11.6,-15.78,24.99,13.59,3.9,0.0,0.0,0.0,0,0,-80.0,6.93,-15.78,Em retrocesso
2412203,São José de Mipibu,RN,Nordeste,34.64,34.77,48.56,80.0,0.13,2.67,37.04,38.97,40.61,42.0,43.19,44.19,0,0,-35.81,7.54,2.67,Ritmo critico
2800506,Areia Branca,SE,Nordeste,27.09,44.81,42.28,80.0,17.72,12.21,55.19,64.01,71.51,77.88,83.3,87.91,1,1,7.91,5.86,12.21,No ritmo da meta
4101606,Arapoti,PR,Sul,75.42,67.63,76.8,80.0,-7.79,-4.76,63.58,60.14,57.22,54.74,52.62,50.83,0,0,-29.17,2.06,-4.76,Em retrocesso
2412609,São Paulo do Potengi,RN,Nordeste,54.24,36.91,,,-17.33,-6.06,31.76,27.38,23.66,20.5,17.81,15.52,0,0,,,-6.06,Em retrocesso
4128807,Xambrê,PR,Sul,73.84,55.19,75.72,80.0,-18.65,-10.19,46.53,39.17,32.91,27.59,23.07,19.22,0,0,-60.78,4.14,-10.19,Em retrocesso
4128104,Umuarama,PR,Sul,64.14,63.1,69.24,80.0,-1.04,-1.38,61.93,60.93,60.08,59.36,58.75,58.23,0,0,-21.77,2.82,-1.38,Em retrocesso
3104502,Arinos,MG,Sudeste,45.28,46.89,56.48,80.0,1.61,6.96,52.81,57.83,62.11,65.74,68.83,71.46,0,0,-8.54,5.52,6.96,No ritmo da meta
1304104,Tapauá,AM,Norte,49.27,51.81,59.27,80.0,2.54,0.55,52.28,52.67,53.01,53.3,53.54,53.75,0,0,-26.25,4.7,0.55,Ritmo critico
1100296,Santa Luzia D'Oeste,RO,Norte,76.11,83.36,77.27,80.0,7.25,4.68,87.34,90.72,93.59,96.04,98.11,99.88,1,1,19.88,-0.56,4.68,No ritmo da meta
5102702,Canarana,MT,Centro-Oeste,32.45,42.06,46.81,80.0,9.61,8.72,49.47,55.77,61.13,65.68,69.55,72.84,1,0,-7.16,6.32,8.72,No ritmo da meta
2704500,Maragogi,AL,Nordeste,32.4,45.6,46.77,80.0,13.2,9.93,54.04,61.21,67.31,72.5,76.9,80.65,1,1,0.65,5.73,9.93,No ritmo da meta
2102606,Cândido Mendes,MA,Nordeste,61.61,49.53,67.57,80.0,-12.08,-4.99,45.29,41.68,38.62,36.01,33.8,31.92,0,0,-48.08,5.08,-4.99,Em retrocesso
1100155,Ouro Preto do Oeste,RO,Norte,72.39,66.4,74.74,80.0,-5.99,-1.94,64.75,63.35,62.16,61.15,60.28,59.55,0,0,-20.45,2.27,-1.94,Em retrocesso
4311122,Jaquirana,RS,Sul,68.5,25.6,72.13,80.0,-42.9,-31.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-80.0,9.07,-31.43,Em retrocesso
